text_fi,text_sv
Tilastollinen arvonmääritysjärjestelmä,Statistikbaserat värdebestämningssystem
Liikeomaisuus,Affärsförmögenhet
Pääomasijoitustoiminta,Kapitalinvesteringsverksamhet
Tekesin rahoitus,Tekes-finansiering
Koeajan määräämisen perusteet,Grunderna för fastställande av prövotid
Osakehuoneiston vuokraaminen,Uthyrning av aktielägenhet
Lisääntymis- ja levähdyspaikka,Föröknings- och rastplatser
Lupa yksityisen sosiaalipalvelun antamiseen,Tillstånd att tillhandahålla privat socialservice
Riittävät voimavarat määritellä avun tarve,Förmåga att definiera hjälpbehov
Noteerattu yhtiö,Noterat bolag
Sijaisvanhempi,Fosterförälder
Luottotietotoiminta,Kreditupplysningsverksamhet
Saamelaiskulttuuri,Samisk kultur
Verkkopalvelutunnukset,Nättjänstkoder
Haastattelu,Intervju
Oikeuden haltija,Rättsinnehavare
Kunnalliset hankintaohjeet,Kommunala upphandlingsdirektiv
Kaavanmuutosalueen laajuus,Storleken av område som planändring gäller
Koulumatkan pituus,Skolvägens längd
Käännyttämispäätöksen kumoaminen,Upphävande av avvisningsbeslut
Henkilökohtaisen avustajan palkka,Lön till personlig assistent
Terveydenhuollon laite tai tarvike,Produkter och utrustning för hälso- och sjukvård
Asuntoalue (A),Bostadsområde (A)
Toiminnan lopettamiseen tähtäävät toimet,Åtgärder som syftar till att avveckla verksamheten
Vaikutukset yhdyskuntarakentamiseen,Inverkan på samhällsstrukturen
Suullisen käsittelyn toimittamatta jättäminen,Muntlig förhandling som inte hållits
Alaikäisyysedellytys,Minderårighet som förutsättning
Listalleottoesitteen hyväksyminen,Godkännande av börsprospekt
Valtaus,Inmutning
Tappioiden vähentäminen,Avdrag av förluster
Avustajan palkkio,Rättegångsbiträdes arvode
Tiedotus- ja ilmoitustilan luovutus,Upplåtelse av informations- och annonsplats
Melutaso-ohjearvojen soveltaminen,Tillämpningen av riktvärden för buller
Lahja,Gåva
Nimeäminen,Angivande som allmännyttigt samfund
Kunnanjohtajan virkavaali,Val av kommundirektör
Jätetiedostoon hyväksynnän peruuttaminen,Återkallande av godkännande för anteckning i avfallsregistret
Korkovähennysoikeuden rajoitukset,Begränsning i fråga om avdragsgilla räntor
Pääomalaina,Kapitallån
EU-oikeus,Unionsrätt
EU-tuomioistuimen oikeuskäytäntö,EU-domstolens rättspraxis
Kiireellisen sijoituksen jatkaminen,Förlängning av brådskande placering
Hakutulosten poistaminen,Avlägsnande av sökresultat
Terveyshaitta,Olägenhet för hälsa
Valuuttajohdannaiskauppa,Valutaderivathandel
Pilaantumaton maa-aines,Icke-förorenat jordmaterial
Laadun vähimmäistaso,Minimikrav i fråga om kvalitet
Asemakaavamääräykset,Bestämmelser i detaljplan
Suomen kansalaisuuden menettäminen,Förlust av finskt medborgarskap
Ympäristöjärjestö,Miljöorganisation
Hallinnon yleiset oikeusperiaatteet,Allmänna rättsprinciper för förvaltningen
Lahjansaaja,Gåvotagare
Vesiliikennelaki,Sjötrafiklagen
Ympäristöluvan tarve,Behov av miljötillstånd
Tornionjoen kalastusalue,Torneå fiskeområde
Laki kotoutumisen edistämisestä,Lagen om främjande av integration
Määräaika hallintoriitahakemuksen vireillepanolle,Tid inom vilken ansökan i förvaltningstvistemål ska anhängiggöras
Jäsenlehti,Medlemsblad
Ennakkoratkaisun pyyntö Euroopan yhteisöjen tuomioistuimelle,Begärande av förhandsavgörande av Europeiska gemenskapernas domstol
Poliisiasiain tietojärjestelmä,Informationssystemet för polisärenden
Asian jääminen ratkaisematta kunnassa,Underlåtelse hos kommunen att avgöra ett ärende
Kunnan omistama osakeyhtiö,Aktiebolag som ägs av kommunen
Lisäomavastuuta kerryttävä varallisuus,Förmögenhet som beaktas vid bestämmande av tilläggssjälvrisk
Rekisteröinnin tarve,När behövs registrering
Ovelta ovelle -saarnaamistyö,Predikoarbete genom dörrknackning
Turvallisuuskriittinen toiminta,Säkerhetskritisk verksamhet
Pitkäaikainen tosiasiallinen tilanne,Långvarig faktisk situation
Vertailuvalmiste,Referenspreparat
Poliisin tiedonsaantioikeus,Polisens rätt att få information
Tahdosta riippumaton sairaalahoito,Sjukhusvård oberoende av patientens vilja
Eläinyksikkö,Antalet djurenheter
Kunnallinen lisä,Kommunalt tillägg
Päävelvoite,Huvudförpliktelse
Edun arvo,Värdet av förmåner
Kunnan lausunto,Kommunens utlåtande
Typpioksidipäästöjen ja melutason alhaisuus,Låga kväveoxidutsläpp och låg bullernivå
Arviointimenettelyn soveltaminen yksittäistapauksessa,Tillämpning av MKB-förfarande i ett enskilt fall
Ympäristöministeriön lausunto,Miljöministeriets utlåtande
Humanitaarisen suojelun perusteella myönnetty oleskelulupa,Uppehållstillstånd beviljat på grund av humanitärt skydd
Ehto,Villkor
Vaalilaki,Vallagen
Lieventäminen,Lindring
Yhtiöosuuden ostaminen,Köp av bolagsandel
Asian palauttaminen,Återförvisande av beslut
Puun myyntitulon verotus,Beskattning av försäljningsinkomst av virke
Suomessa oleskelu,Vistelse i Finland
Harkintamarginaali,Prövningsmarginal
Säännöt,Stadgar
Alistettu päätös,Underställt beslut
Jätehuollon järjestäminen,Anordnande av avfallshantering
Omatoimisesti kuljettava koulumatkaosuus,Vägavsnitt som eleven ska tillryggalägga på egen hand
Palkkionpalautus,Återbäring av arvode
Rajoitetusti verovelvollinen osingonsaaja,Begränsat skattskyldig dividendtagare
Viimeinen maksupäivä,Sista betalningsdag
Hirvieläin,Hjortdjur
Hoitopalveluiden tarjoaminen,Tillhandahållande av vårdtjänster
Virkistysalueeksi osoittaminen,Anvisning av område som rekreationsområde
Päämieheltä perittävä edunvalvontapalkkio,Arvode som huvudmannen ska betala
Virkarikosoikeudenkäynti,Rättegång som gäller tjänstebrott
Varastorakennus,Lagerbyggnad
Alkutuotanto,Primärproduktion
Toimenpidepyyntö,Åtgärdsbegäran
Määräaikaista virkasuhdetta edellyttävä peruste,Grund som förutsätter att tjänsteförhållande ingås för viss tid
Tutkimussuunnitelma,Forskningsplan
Ilmeinen ristiriita,Uppenbart konflikt
Edunsaajan menettely,Förmånstagarens förfarande
Tukikelpoisuus,Stödduglighet
Euroopan unionin perusoikeuskirja,Europeiska unionens stadga om de grundläggande rättigheterna
Vaikeavammaisuus,Gravt handikappad
Työpanososinko,Dividend som baserar sig på arbetsinsats
Sukupolvenvaihdosluovutus,Överlåtelse vid generationsväxling
Huoltotupa,Servicestuga
Fysioterapeutin lausunto,Fysioterapeututlåtande
Direktiivin välitön oikeusvaikutus,Direktivs omedelbara rättsverkan
Kansainvälistä suojelua hakeneen näyttövelvollisuus,Bevisbörda för den som söker internationellt skydd
Etäisyys häiriintyviin kohteisiin,Avstånd till mål där störning uppstår
Valtion virkamieslain 56 §:n mukainen korvaus,Ersättning som avses i 56 § i statstjänstemannalagen
Rakennusurakka,Byggentreprenad
Vaikeavammainen,Gravt handikappad
Matalalattiabussi,Låggolvsbuss
Toimenpideluvan hakemisen edellyttäminen,Att förutsätta en ansökan om åtgärdstillstånd
Vakinainen osoite,Stadigvarande adress
Luonnollinen henkilö osakkeenomistajana,Fysisk person som aktieägare
Ajoneuvovero,Fordonsskatt
Päästökauppa­direktiivi,Utsläppshandelsdirektivet
Johdon kannustinjärjestelmä,Ledningens bonussystem
Julkisoikeudellinen yhteisö,Offentligrättsligt samfund
Maa-ainesten ottoalue,Marktäktsområde
Asukkaiden osallistumisoikeus,Boendes rätt att delta
Avustuspäätös,Statsunderstödsbeslut
Pakolaisuuden lakkaaminen,Flyktingskap som upphör
Osakkeiden hankinta ja hallussapito,Förvärv och innehav av aktier
Ylivoimainen este,Övermäktigt hinder
Jätelaki,Avfallslag
Pysäköintivirhe,Felparkeringsavgift
Kesämökki,Sommarstuga
Kunnan toimiala,Kommuns behörighet att bedriva verksamhet
Asiakirjajulkisuus,Handlingsoffentlighet
Kunnanvaltuuston päätös,Kommunfullmäktiges beslut
Pysäköintitoiminta,Parkeringsverksamhet
Täytäntöönpanoa koskeva määräys,förordnande om verkställighet
Viranomaisen oma-aloitteinen luokittelu,Klassificering på myndighets initiativ
Hyödykkeiden palvelutuotantokyky,Tillgångars serviceproduktionskapacitet
Omistajan vastuu,Ägarens ansvar
Automatisoitu päätöksenteko,Automatiserat beslutsfattande
Kajoamislupa,Tillstånd att rubba fornlämning
Kielitaitoedellytys,Krav på språkkunskap
Ympäristökeskuksen toimivalta,Miljöcentralens behörighet
EY:n perustamissopimuksen tulkinta,Tolkning av fördraget om upprättandet av Europeiska gemenskapen
Maankäyttösopimus,Markanvändningsavtal
Vastuu lastensuojelun kustannuksista,Ansvar för barnskyddskostnader
Lainvoiman saaneen päätöksen purkaminen,Återbrytande av laga kraft vunnet beslut
Asiakirjakohtainen arvio,Handlingsbaserad bedömning
Salassa pidettävät viranomaisen asiakirjat,Sekretessbelagda myndighetshandlingar
Esiintyminen eri henkilöllisyydellä,Uppträdande under olika identiteter
Tavaran haltuunotto,Omhändertagande av varor
Ydinlaitos,Kärnanläggning
Jälkihoito,Eftervård
Patentti,Patent
Kuntapalautus,Återbäring till kommunen
Aika taloudellisen tilanteen järjestämiseksi,Tid att ordna upp sin ekonomiska situation
Etusijajärjestys,Prioritetsordning
Ympäristönsuojelu,Miljöskyddslagen
Poikkeus,Undantag
Unionin kansalaisen liikkumisvapaus,Unionsmedborgares rätt att röra sig fritt
Soveltuvuus,Lämplighet
Tarjoajien tasapuolinen kohtelu,Jämbördigt bemötande av anbudsgivare
Pääasiallinen rahoitus,Huvudsaklig finansiering
Ulkomaisen veron hyvitys,Avräkning av utländsk skatt
Toiminta-alueen supistaminen,Inskränkning av verksamhetsområdet
Natura 2000 -kohde,Objekt inom Natura 2000
Rekisteröitävyys,Registrerbarhet
Patenttilain 71 a §:n mukainen esitys,Framställning enligt 71 a § i patentlagen
Viranhakijan valitus,Besvär av person som sökt tjänsten
Poikkeukset myynnin verollisuudesta,Undantag från skattepliktig försäljning
Kunnan omaisuuden vuokraaminen,Hyreskontrakt som avser kommunal egendom
Luonto ja sen monimuotoisuus,Naturen och dess mångfald
Yhdenvertaisuus,Jämbördigt bemötande
Hinnanalennus,Prisnedsättning
Maatietouden arviointi hallinto-oikeudessa,Bedömning av landinformationen i förvaltningsdomstolen
Luvanhaltija,Tillståndshavare
Lapsen etu,Barnets intressen
Kansallinen lainsäädäntövalta,Nationell lagstiftningskompetens
Kaavan sisältövaatimukset,Krav på innehållet i en plan
Turvetuotanto,Torvproduktion
Tarjouspyynnön yksiselitteisyys,Entydig anbudsförfrågan
Kohtuullisen tuoton laskentamenetelmien ennustettavuus,Förutsebarheten i metoder som används för beräkning av skälig avkastning
Huomattavan markkinavoiman yritys,Företag med betydande marknadsinflytande
Maankäytön sopeutuminen muuhun ympäristöön,Anpassning av markanvändningen till den övriga miljön
Uusia ja olennaisesti muuttuvia alueita koskeva kaavamerkintä,Planbeteckning för nya områden och områden som förändras avsevärt
Vanhentumislain soveltuminen,Fråga om tillämpning av lagen om preskription av skulder
Ulkomaisen yliopiston myöntämä tutkinto,Examen beviljad av utländskt universitet
Alueiden vuokraus kulkuneuvojen paikoitusta varten,Uthyrning av platser för fordonsparkering
Verosopimus,Skatteavtal
Päätöksentekijän toimivalta,Beslutsfattarens kompetens
Liiketoiminta,Affärsverksamhet
Uusi ennakkoratkaisu,Nytt förhandsavgörande
Välittömyys,Fråga om direkta val
Hankintameno-olettama,Antagen anskaffningsutgift
Maaseudun kehittämisohjelma,Landsbygdsprogrammet
Toimialueena koko maa,Hela landet som verksamhetsområde
Realisoitumaton arvonnousu,Orealiserad värdestegring
Lannan levitys,Gödselspridning
Lupaharkinnan kannalta tarpeellinen selvitys,För tillståndsprövning behövlig utredning
Ulkomaan työkomennus,Utsänd arbetstagare
Teollisuusrakentaminen,Industribyggande
Lihantarkastusmaksu,Avgift för köttbesiktning
Kustannussuuntautunut hinta,Kostnadsorienterat pris
Määräysvallan muuttuminen,Förändrat bestämmande inflytande
Maaperän pilaantuminen,Förorening av mark
Valituksen tutkiminen,Prövning av besvär
Päätöksen kertoelman sitovuus,Tillståndsbeslutets recitdels bindande verkan
Projektiluonteiset kehittämishankkeet,Projektarbete i utvecklingssyfte
Asianosaisen pyyntö suullisen käsittelyn toimittamiseksi,Parts begäran att hålla muntlig förhandling
Huvi- ja harjoituslentotoiminta,Sport- och övningsflygning
Kotikunnan valintaoikeus,Rätt att välja hemkommun
Psykoterapeutti,Psykoterapeut
Kehittämisjohtaja,Utvecklingschef
Kansalaisuus,Medborgarskap
Alkoholijuomien anniskelulupa,Serveringstillstånd för alkoholdrycker
Hakemuksessa esitetyt tiedot,Uppgifterna i ansökan
Suomen kalastuskiintiöt,Finlands fiskekvoter
Perheneuvolan johtaja,Föreståndare för familjerådgivningsbyrå
Rakennuksen rakentaminen,Uppförande av byggnad
Rakennusluvan muutos,Ändring av bygglov
Ulkomailla pitkään asunut Suomen kansalainen,Finsk medborgare som länge bott utomlands
Hankinnan kohteen ja tarjouksen valintaperusteen muuttaminen kesken hankintamenettelyn,Ändring av föremålet för upphandlingen och kriterierna för valet av anbud under upphandlingsförfarandet
Yhdenvertaisuus,Jämbördighet
Palvelussuhdelajin muutos,Ändring av anställningsform
Ennakkoratkaisupyyntö unionin tuomioistuimelle,Begäran om förhandsavgörande av unionens domstol
Purkupalvelun myynti,Försäljning av rivningstjänst
Verohallinnon päätös,Skatteförvaltningens beslut
Selvitetty henkilöllisyys,Utredd identitet
Ulkomailla oleskelu,Utlandsvistelse
Oikeustoimen vastapuoli,Rättshandlingens motpart
Aiheettomasti maksetun palkan takaisinperintä,Återkrav av utan grund utbetald lön
Sunnuntai- ja arkipyhäkorvaukset,Söndags- och söckenhelgsersättningar
Soveltamisala,Tillämpningsområde
Rinnakkaisvalmiste,Synonympreparat
Luvan epääminen,Avslag på tillståndsansökan
Laitoskohtaisten päästöoikeuksien myöntäminen,Fördelning av utsläppsrätter på anläggningar
Arviointi-ja lausuntomenettelyn oikeudellinen sitovuus,Bedömnings- och utlåtandeförfarandets rättsliga verkan
Urheilu- ja virkistyspalvelujen alue,Område för idrotts- och rekreationsanläggningar
Lämpövoimalaitos,Värmekraftverk
Pisteytysmalli,Poängsättningsmodell
Executive MBA -koulutus,Executive MBA-utbildning
Tuotantomäärä,Produktionskapacitet
BAT,BAT
Karkottamisen edellytysten kokonaisharkinta,Helhetsbedömning av förutsättningarna för utvisning
Vähennyskelpoisuus,Avdragsgillhet
Valtiontukiedellytykset,Förutsättningar för statligt stöd
Turvallisuuden arvioiminen,Säkerhetsbedömning
Purkautuminen verotuksessa,Upplösning vid beskattningen
Ennakoitavuus,Förutsägbarhet
Alkoholijuomavero,Accis på alkoholdrycker
Äänioikeutettu,Röstberättigad
Jehovan todistaja,Jehovas vittne
Asian siirtäminen ylimääräisessä yhtiökokouksessa käsiteltäväksi,Överförande av ärende till extra bolagsstämma
Säännöstelymääräysten muuttaminen,Ändring av tillståndsföreskrifter
Ansiotulosta tehtävät vähennykset,Avdrag från förvärvsinkomst
Salassa pidettävä asia,Sekretessbelagt ärende
Kaava-alueen laajuus,Ett planområdes omfattning
Poronhoito,Renskötsel
Ennalta arvioitavissa oleva edunmenetys,Förutsebar förlust av förmån
Hakemuksesta tehty muistutus,Anmärkning mot ansökan
Kiinteistönmuodostaminen,Fastighetsbildning
Muu pääomansijoitus,Annan kapitalplacering
Määräys ympäristön pilaantumisen ehkäisemiseksi,Villkor om hindrande av miljöförorening
Avio-oikeus,Giftorätt
Taksiluvan siirtäminen,Överföring av taxitillstånd
Maksun alentaminen tai poistaminen,Sänkning eller slopning av avgift
Olemassa olevan asuinrakennuksen korjaaminen tai vähäinen laajentaminen,Reparation eller mindre utvidgning av ett befintligt bostadshus
Tarjoajan velvollisuus antaa pyydetty selvitys tarjotun hinnan poikkeuksellisen alhaisuuden arvioimiseksi,Anbudsgivarens skyldighet att inlämna förklaring så att det onormalt låga anbudet kan bedömas
Tarpeellisuus,Nödvändighet
Yhteinen kauppapolitiikka,Gemensam handelspolitik
Luku- ja kirjoitustaidoton,Icke-läskunnig och icke-skrivkunnig
Tekninen ero,Teknisk skillnad
Kotipalvelujen tukipalvelut,Stödtjänster inom hemservice
Verotus,Skatteplikt för kapitalinkonst
Riippumattomuus,Oberoende
Lasten päivähoidon maksu,Avgift för barndagvård
Alihankkijan referenssit,Underleverantörens referenser
Osakeyhtiön oikeus jatkaa liikennettä,Aktiebolags rätt att fortsätta trafiken
Ammatinharjoittamisvapaus,Frihet att utöva yrke
Osallistuminen ja vuorovaikutus,Delaktighet och växelverkan
Painava yhteiskunnallinen tarve,Vägande samhälleligt intresse
Hallintotuomioistuin,Förvaltningsdomstol
Valitusluvan tarve,Besvärstillstånd som förutsättning
Julkinen tehtävä,Offentligt uppdrag
Työllisyyden edistäminen,Främjande av sysselsättningen
Puutarhakylähanke,Anläggning av kolonialträdgårdsområde
Jätekaasut,Restgaser
Hallussapito kaupallisessa tarkoituksessa,Innehav i kommersiellt syfte
Perus- ja ihmisoikeusmyönteinen laintulkinta,Grund- och människorättighetsbejakande tolkning
Täytäntöönpanomääräys,Förordnande om verkställighet av beslut
Oikeussuojatie,Rättsskyddsmedel
Elatusapuvelka,Obetalda underhållsbidrag
Kirjallinen ilmoitus palvelujen tuottamisesta,Skriftlig anmälan om erbjudande av stödtjänster inom hemservicen
Kuolinpesän osakas,Delägare i dödsbo
Hintailmoitus,Prisanmälan
Hallintovalitus,Förvaltningsbesvär
Mielenterveyspotilas,Mentalvårdspatient
Sijoitussidonnainen kapitalisaatiosopimus,Placeringsbundet kapitaliseringsavtal
Muuttaminen,Ändring av beslut
Schengenin tietojärjestelmä,Schengens informationssystem
Kunnan lakisääteinen tehtävä,Kommuners lagstadgade uppgifter
Kohdekohtainen riskinarvio,Områdesspecifik riskbedömning
Maahanmuuttovirasto,Migrationsverket
Perusoikeudet,Grundläggande rättigheter
Kivenlouhinta,Stenbrytning
Muutettu johtoreitti,Ändrad ledningsrutt
Kustannusten vaikutus vesihuollosta perittäviin maksuihin,Kostnadernas inverkan på avgifterna för vattentjänster
Kaasutinlaitos,Förgasningsanläggning
Kissojen pitäminen,Katthållning
Vamman syyn selvittäminen,Utredning av orsaken till kroppsskada
Toisen nimi,Annans namn
Erityisala,Specialområde
Oikaisumenettely,Rättelseförfarande
Alueen käyttötarkoitus,Ett områdes användningsändamål
Ympärivuotinen rakennus,Året-runt-hus
Jäännösveron maksu,Betalning av kvarskatt
Arvopaperikauppa,Värdepappershandel
Oman asunnon luovutusvoitto,Överlåtelsevinst av egen bostad
Osakkeenomistaja,Aktieägare
Valituslupajärjestelmä,Besvärstillståndssystem
Jakamaton kokonaisuus,Odelbar helhet
Virkamies,Tjänsteman
Turvapaikkaperuste,Grund för beviljande av asyl
Hakemukseen liitettävät selvitykset,Utredning som skall biläggas ansökan
Neuvottelumenettely,Förhandlat förfarande
Sähköinen asiointi,Elektronisk kommunikation
Matkailupalvelujen alue,Område för turistanläggningar
Holhoustilin tarkastaminen,Granskning av förmyndarredovisning
Lisäosa,Tilläggsdel
Polttoaine,Bränsle
Esikysymys,Preliminärfråga
Luottamuksellisen viestin salaisuus,Skydd för förtroliga meddelanden
Julkisia hankintoja koskevan sopimuksen määritelmä,Definition av offentliga kontrakt
Lupaviranomainen,Tillståndsmyndighet
Ennakkoasenne,Förhandsinställning
Aluetta koskevat kaavamääräykset,Planbestämmelserna på ett område
Terveydentilaa koskeva tieto,Uppgift som berör hälsotillstånd
Ehdollinen ajokielto,Villkorligt körförbud
Omaisuuden luovutusvoitto,Överlåtelsevinst
Bussiliikenteen hoitaminen,Busstransporttjänster
Lapsipornografia,Barnpornografi
Saalistushinnoittelun arviointiperusteet,Bedömningsgrunder för underprissättning i konkurrenssyfte
Jätevedenpuhdistamo,Avfallsreningsverk
Tilintarkastus,Revision
Pysäköintilipun katoaminen,Förkommen parkeringsbiljett
Sairaanhoitovakuutus,Sjukvårdsförsäkring
Erityisen sijoitusrahaston käsite,Begreppet särskild investeringsfond
Aineenopettaja,Ämneslärare
Oppositiotoiminta,Oppositionsverksamhet
Vakuutusoikeus,Försäkringsdomstolen
Järjestäytymätön osakaskunta,Icke konstituerat delägarlag
Luvan edellytykset,Tillståndsförutsättningar
Varallisuusverotusperusteinen arvo,Förmögenhetsbeskattningsbaserat värde
Rakennuskielto yleiskaavan laatimista varten,Byggförbud för utarbetande av generalplan
Lääkärintodistuksen toimittamisvelvollisuus,Skyldighet att lämna in läkarutlåtande
EY-oikeus,gemenskapsrätten
Määräävän markkina-aseman väärinkäyttö,Missbruk av dominerande marknadsställning
Poikkeukset myynnin verollisuudesta,Undantag från skatteplikt för försäljning
Vakuutusmaksun veronalaisuus,Skatteplikt på försäkringspremie
Kaivos,Gruva
Asian palauttaminen uudelleen valmisteltavaksi,Återvisning av ärende för ny behandling
Käyttöoikeuden lunastus,Inlösen av nyttjanderätt
Päätöksen voimassaolo,Besluts giltighetstid
Kumoamisperusteena muu lainvastaisuus kuin kunnallista viranhaltijaa koskevan lain vastaisuus,Beslut som upphävts på den grunden att det stått i strid med annan lag än lagen om kommunala tjänsteinnehavare
Graafinen esitettävyys,Märke som kan återges grafiskt
Pelastusviranomaisen päätös,Räddningsmyndighets beslut
Normaalisuusperiaate,Normalitetsprincipen
Käyttäytymisen sopimattomuus,Olämpligt uppförande
Pysyvä peruuttaminen,Permanent återkallande
Osallistuva jäsenvaltio,Deltagande medlemsstat
Rantayleiskaava,Strandgeneralplan
Maankäyttö ja rakentaminen,Markanvändnings- och bygglagen
Antenniteline,Antennfäste
Englannin makasiini,Engelska magasinet
Verotusmenettely,Beskattningsförfarande
Poistumisvahvistettu luovutuspäätös,Utförselbekräftat överlåtelsebeslut
Puhdistamismääräys,Saneringsföreskrift
Tuottajavastuu,Producentansvar
Toistaiseksi voimassa oleva maahantulokielto,Inreseförbud som gäller tills vidare
Huvilatontin vuokraaminen,Arrende av sommarstugetomter
Vakuutusyhtiölle suoritettava hyvike,Gottgörelse som ska erläggas åt försäkringsbolaget
Huomattava markkinavoima,Betydande marknadsinflytande
Turvallisuuspuute,Säkerhetsbrist
Lintuvesien suojeluohjelma,Skyddsprogrammet för fågelrika insjöar och havsvikar
Algeria,Algeriet
Metsätila,Skogsbrukslägenhet
Enterprise Resource Planning,Enterprise Resource Planning
Luvan tarve,Behov av tillstånd
Kansallisen tuomioistuimen toimivalta,Nationell domstols behörighet
Toimenpideluvan edellytykset,Förutsättningar för åtgärdstillstånd
Pesien hävittäminen,Att förstöra fågelbo
Viran täyttäminen,Tillsättning av tjänst
Vammaispalvelulaki,Handikappservicelagen
Ilmeinen sopimattomuus,Uppenbar olämplighet
EU-oikeus,Gemenskapsrätt
Imeytys,Infiltrering
Termiinisopimus,Terminsavtal
Vakituisten asuinrakennusten veroprosentti,Skatteprocenten för byggnad som används för stadigvarande boende
Hyvitysmaksun edellytykset,Förutsättningarna för skyldighet att betala gottgörelse
Hakemusosoitus,Anvisning om ansökan
Osakeyhtiön toimitusjohtaja,Aktiebolags verkställande direktör
Ampuma-aserikkomus,Skjutvapenförseelse
Epäselvää henkilöllisyyttä koskeva merkintä,Oklar anteckning om identitet
Olosuhteiden merkittävä ja pysyvä muutos,Väsentlig och varande förändring i förhållandena
Vähemmistöosakas,Minoritetsaktieägare
Saamelaiskulttuurin suoja,Skydd för samisk kultur
Tulkkaus- ja käännöskulut,Tolknings- och översättningskostnader
Kananmunatuotanto,Produktion av hönsägg
Terveydensuojelua koskeva määräys,Hälsoskyddsbestämmelser
Energiaviraston päätös olla ryhtymättä toimenpiteisiin verkkoyhtiötä vastaan,Energimyndighetens beslut att inte vidta åtgärder mot nätbolaget
Lainmuutos,Lagändring
Kuivakäymälä,Torrklosett
Valtiontuki,Statligt stöd
Elatustuen takaisinperintä,Återkrav av underhållsstöd
Tahallisuus tai törkeä huolimattomuus,Uppsåt eller grov vårdslöshet
Perhehoitajalain mukainen toimeksiantosopimus,Uppdragsavtal enligt familjevårdarlagen
Tulliverotus,Tullbeskattning
Aloituskokous,Inledande möte
Esteiden poistaminen asunnon välittömästä lähiympäristöstä,Avlägsnande av hinder i bostadens närmaste omgivning
Viranhaltijapäätös,Tjänsteinnehavarbeslut
Sidosyksikkö,Enhet anknuten till den upphandlande enheten (in house-enhet)
Palvelun myynti ammattimaisessa kansainvälisessä liikenteessä olevan vesialuksen lastin välittömiä tarpeita varten,Försäljning av tjänster som täcker direkta behov för last i fartyg som går i yrkesmässig internationell trafik
Sopimuksen kohdealue,Område som avtalsobjekt
Metsävähennys,Skogsavdrag
Työnantajan järjestämä työterveyshuolto,Av arbetsgivaren ordnad företagshälsovård
Kunnan asukkaiden hyvinvoinnin edistäminen,Främjande av kommuninvånares väl-färd
Virkamieslautakunnan toimivalta,Tjänstemannanämndens behörighet
Jouluaatto,Julafton
Tehokas oikeussuoja,Effektivt rättsskydd
Kaivosyhtiö,Gruvbolag
Hevosenlanta,Hästgödsel
Metabolinen vaikutus,Metabolisk verkan
Liikkumiskielto,Förbud att röra sig på ett område
Perustuslailliset takeet,Grundlagsenliga garantier
Hakemuksen myöhästyminen,Försenad ansökan
Varallisuusverotuksessa noudatettujen perusteiden mukainen arvo,Värde enligt grunderna som iakttas vid förmögenhetsbeskattningen
Avustajan matkakulut,Assistentens resekostnader
Talousarvion hyväksyminen,Godkännande av budget
Terveydenhuoltomenot,Sjukvårdsutgifter
Matkustamiskustannusten korvaus,Resekostnadsersättning
Poistuminen Suomesta,Sökanden har lämnat Finland
Kunnallisen lautakunnan jäsen,Ledamot av kommunal nämnd
Maksatusviranomainen,Utbetalande myndighet
Veroilmoituksen antamatta jättäminen,Underlåtelse att lämna in skattedeklaration
Naispappi,Kvinnlig präst
Tarjouksen hinta,Anbudsbelopp
Teleyritysten välisen erimielisyyden ratkaiseminen,Avgörande av teleföretags meningsskiljaktigheter
Toimenpideluvan tarve,Behov av åtgärdstillstånd
Koululaiskuljetus,Skolskjutsning
Yhdistyksen tarkoitus,Förenings syfte
Vuokraustoiminnan aloittaminen,Inledande av uthyrningsverksamhet
Maankäyttö- ja rakentaminen,Markanvändnings- och bygglagen
Yhdenvertaisuus- ja tasa-arvolautakunta,Diskriminerings- och jämställdhetsnämnden
Pääosakas,Majoritetsdelägare
Itsenäinen ammatin­harjoittajalääkäri,Självständig läkaryrkesutövare
Vaalivalitus,Valbesvär
Luvaton rakentaminen,Byggande utan tillstånd
Kuntajaon muutos,Ändring av kommunindelning
Päivätoiminta,Dagverksamhet
Maisematyöluvan tarve,Behov av tillstånd för miljöåtgärder
Anniskelulupa,Serveringstillstånd
Valittaja suljettu tarjouskilpailusta,Ändringssökande som uteslutits ur anbudsförfarandet
Viron liiketulo,Affärsinkomst från Estland
Kohtuullinen tuotto,Skälig avkastning
Poikkeuslupa,Tillstånd att avvika från förbud
Lastensuojelukustannukset,Barnskyddskostnader
Rauhoitusaika,Fredningstid
Tuotteet jotka soveltuvat pääasiallisesti sotilaalliseen käyttöön,Varor som lämpar sig huvudsakligen för militärt bruk
Suojavyöhyke,Skyddszon
Vaihtoehtoinen suunnitelma,Alternativ plan
Kiinteistön omistajan vastuu,Fastighetsägares ansvar
Lunastuslupaviranomaisen tutkimisvelvollisuus,Inlösningsmyndighetens utredningsskyldighet
Sairaala,Sjukhus
Jätevedenpuhdistamo,Reningsverk för avloppsvatten
Tiedustelupalvelu,Underrättelsetjänst
Läsnäolo asian käsittelyssä,Närvaro vid handläggningen av ett ärende
Kaavan valmistelun lopettaminen,Upphöra med utarbetandet av plan
Laitoshoidon maksu,Avgift för institutionsvård
Avoliittolaissa tarkoitettu hyvitys,Gottgörelse enligt sambolagen
Kuvaohjelmalautakunta,Bildprogramsnämnden
